"exp","dependent","model","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean"
"E1","SOURCE_EUI","Reg",1,"meanCent",333,8,8,0.168,0.15,1602.909,40.036,31.4,0.32,72.647,18.523,34.935
"E1","SOURCE_EUI","Reg",1,"meanCent_logDV",333,8,8,0.169,0.151,1646.745,40.58,31.198,0.299,0,0,0
"E1","SOURCE_ENERGY","Reg",1,"meanCent",333,8,8,0.821,0.817,36001169102348,6000097.424,3594345.117,0.421,50.462,6.29,46.155
"E1","SOURCE_ENERGY","Reg",1,"meanCent_logDV",333,8,8,0.669,0.662,2132028081531888,46173889.608,11590995.806,0.573,0,0,0
"E2","SOURCE_EUI","RegInt",2,"meanCent",333,29,29,0.238,0.168,1562.212,39.525,31.267,0.311,71.72,18.287,34.489
"E2","SOURCE_EUI","RegInt",2,"meanCent_logDV",333,29,29,0.262,0.194,1680.415,40.993,31.457,0.292,0,0,0
"E2","SOURCE_ENERGY","RegInt",2,"meanCent",333,29,29,0.845,0.831,31951161597646.3,5652535.855,3457551.825,0.361,47.539,5.925,43.482
"E2","SOURCE_ENERGY","RegInt",2,"meanCent_logDV",333,29,29,0.802,0.784,1507337502196218,38824444.648,7932453.197,0.453,0,0,0
"E2","SOURCE_EUI","RegInt",3,"meanCent",333,64,64,0.397,0.256,1380.918,37.161,29.248,0.291,67.431,17.193,32.426
"E2","SOURCE_EUI","RegInt",3,"meanCent_logDV",333,64,64,0.423,0.287,1425.027,37.75,28.809,0.267,0,0,0
"E2","SOURCE_ENERGY","RegInt",3,"meanCent",333,64,64,0.872,0.841,26888813043307.4,5185442.415,3121463.957,0.321,43.61,5.436,39.889
"E2","SOURCE_ENERGY","RegInt",3,"meanCent_logDV",333,64,64,0.887,0.861,73787725393105.5,8589978.195,4602649.421,0.344,0,0,0
"E2","SOURCE_EUI","RegInt",4,"meanCent",333,98,99,0.526,0.331,1289.252,35.906,26.273,0.265,65.153,16.612,31.331
"E2","SOURCE_EUI","RegInt",4,"meanCent_logDV",333,98,99,0.531,0.338,1353.221,36.786,26.096,0.246,0,0,0
"E2","SOURCE_ENERGY","RegInt",4,"meanCent",333,98,99,0.892,0.847,25083478731767,5008340.916,2946131.7,0.287,42.121,5.25,38.526
"E2","SOURCE_ENERGY","RegInt",4,"meanCent_logDV",333,98,99,0.919,0.885,54586854155433.8,7388291.694,3792539.244,0.296,0,0,0
"E2","SOURCE_EUI","RegInt",5,"meanCent",333,105,120,0.568,0.371,1118.008,33.437,24.435,0.247,60.673,15.47,29.177
"E2","SOURCE_EUI","RegInt",5,"meanCent_logDV",333,105,120,0.577,0.384,1158.09,34.031,23.917,0.225,0,0,0
"E2","SOURCE_ENERGY","RegInt",5,"meanCent",333,105,120,0.907,0.865,22054351217120.1,4696206.045,2776455.888,0.267,39.496,4.923,36.125
"E2","SOURCE_ENERGY","RegInt",5,"meanCent_logDV",333,105,120,0.928,0.896,49190019491762.3,7013559.688,3569526.941,0.274,0,0,0
"E2","SOURCE_EUI","RegInt",6,"meanCent",333,106,127,0.568,0.368,1111.52,33.339,24.413,0.246,60.495,15.425,29.091
"E2","SOURCE_EUI","RegInt",6,"meanCent_logDV",333,106,127,0.578,0.383,1140.083,33.765,23.702,0.223,0,0,0
"E2","SOURCE_ENERGY","RegInt",6,"meanCent",333,106,127,0.907,0.865,21580186406398.4,4645447.923,2775798.771,0.267,39.069,4.87,35.735
"E2","SOURCE_ENERGY","RegInt",6,"meanCent_logDV",333,106,127,0.929,0.896,46473465447303.1,6817144.963,3523264.93,0.272,0,0,0
"E2","SOURCE_EUI","RegInt",7,"meanCent",333,106,128,0.568,0.368,1111.52,33.339,24.413,0.246,60.495,15.425,29.091
"E2","SOURCE_EUI","RegInt",7,"meanCent_logDV",333,106,128,0.578,0.383,1140.083,33.765,23.702,0.223,0,0,0
"E2","SOURCE_ENERGY","RegInt",7,"meanCent",333,106,128,0.907,0.865,21580186406398.4,4645447.923,2775798.771,0.267,39.069,4.87,35.735
"E2","SOURCE_ENERGY","RegInt",7,"meanCent_logDV",333,106,128,0.929,0.896,46473465447303.1,6817144.963,3523264.93,0.272,0,0,0
"E3a","SOURCE_EUI","rpart",1,"meanCent",333,0,0,0,0.003,1803.922,42.473,33.521,0.353,77.069,19.651,37.062
"E3a","SOURCE_EUI","rpart",1,"meanCent_logDV",333,0,0,0,0.003,1874.773,43.299,33.124,0.322,0,0,0
"E3a","SOURCE_ENERGY","rpart",1,"meanCent",333,10,10,0.839,0.834,33599828494890.9,5796535.905,3600006.153,0.462,48.75,6.076,44.589
"E3a","SOURCE_ENERGY","rpart",1,"meanCent_logDV",333,10,10,0.879,0.876,27577008410230.5,5251381.572,3025893.764,0.258,0,0,0
"E3b","SOURCE_EUI","xgboost",1,"meanCent",333,7,7,0.238,0.224,1439.718,37.944,30.044,0.314,68.851,17.555,33.11
"E3b","SOURCE_EUI","xgboost",1,"meanCent_logDV",333,7,7,0,-0.018,13939.223,118.064,110.187,0.953,0,0,0
"E3b","SOURCE_ENERGY","xgboost",1,"meanCent",333,7,7,0.859,0.857,26681313613082.6,5165395.785,3241803.124,0.423,43.442,5.415,39.734
"E3b","SOURCE_ENERGY","xgboost",1,"meanCent_logDV",333,7,7,0,-0.018,358083707394177,18923099.836,13385567.452,1,0,0,0
