"exp","dependent","model","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean"
"E1","SOURCE_EUI","Reg",1,"meanCent",104,8,8,0.54,0.507,3218.719,56.734,44.22,0.25,51.437,17.712,30.777
"E1","SOURCE_EUI","Reg",1,"meanCent_logDV",104,8,8,0.534,0.5,3758.745,61.309,46.403,0.248,0,0,0
"E1","SOURCE_ENERGY","Reg",1,"meanCent",104,8,8,0.896,0.888,183674576201346,13552659.377,9300485.937,0.368,28.081,9.319,33.02
"E1","SOURCE_ENERGY","Reg",1,"meanCent_logDV",104,8,8,0.785,0.77,73263954106579184,270673149.955,67467671.742,0.869,0,0,0
"E2","SOURCE_EUI","RegInt",2,"meanCent",104,29,29,0.663,0.537,2738.546,52.331,40.028,0.226,47.445,16.337,28.388
"E2","SOURCE_EUI","RegInt",2,"meanCent_logDV",104,29,29,0.678,0.557,3192.75,56.504,42.178,0.226,0,0,0
"E2","SOURCE_ENERGY","RegInt",2,"meanCent",104,29,29,0.953,0.935,127509219902540,11291998.047,7490974.231,0.231,23.397,7.764,27.512
"E2","SOURCE_ENERGY","RegInt",2,"meanCent_logDV",104,29,29,0.916,0.885,4150358934583136,64423279.446,24693749.918,0.446,0,0,0
"E2","SOURCE_EUI","RegInt",3,"meanCent",104,64,64,0.85,0.613,2069.056,45.487,30.456,0.182,41.24,14.2,24.676
"E2","SOURCE_EUI","RegInt",3,"meanCent_logDV",104,64,64,0.847,0.606,2540.717,50.406,32.782,0.181,0,0,0
"E2","SOURCE_ENERGY","RegInt",3,"meanCent",104,64,64,0.973,0.931,69652768155349.8,8345823.396,4916744.166,0.164,17.293,5.738,20.334
"E2","SOURCE_ENERGY","RegInt",3,"meanCent_logDV",104,64,64,0.98,0.95,485924164101614,22043687.625,11351790.448,0.226,0,0,0
"E2","SOURCE_EUI","RegInt",4,"meanCent",104,99,99,0.991,0.814,220.029,14.833,7.222,0.038,13.448,4.631,8.047
"E2","SOURCE_EUI","RegInt",4,"meanCent_logDV",104,99,99,0.993,0.851,273.291,16.532,7.768,0.038,0,0,0
"E2","SOURCE_ENERGY","RegInt",4,"meanCent",104,99,99,0.997,0.937,9440469622870.95,3072534.723,1502250.338,0.031,6.366,2.113,7.486
"E2","SOURCE_ENERGY","RegInt",4,"meanCent_logDV",104,99,99,0.998,0.968,66570473119271.8,8159073.055,3771609.074,0.059,0,0,0
"E2","SOURCE_EUI","RegInt",5,"meanCent",104,104,120,1,NA,0,0,0,0,0,0,0
"E2","SOURCE_EUI","RegInt",5,"meanCent_logDV",104,104,120,1,NA,0,0,0,0,0,0,0
"E2","SOURCE_ENERGY","RegInt",5,"meanCent",104,104,120,1,NA,0,0,0,0,0,0,0
"E2","SOURCE_ENERGY","RegInt",5,"meanCent_logDV",104,104,120,1,NA,0,0,0,0,0,0,0
"E2","SOURCE_EUI","RegInt",6,"meanCent",104,104,127,1,NA,0,0,0,0,0,0,0
"E2","SOURCE_EUI","RegInt",6,"meanCent_logDV",104,104,127,1,NA,0,0,0,0,0,0,0
"E2","SOURCE_ENERGY","RegInt",6,"meanCent",104,104,127,1,NA,0,0,0,0,0,0,0
"E2","SOURCE_ENERGY","RegInt",6,"meanCent_logDV",104,104,127,1,NA,0,0,0,0,0,0,0
"E2","SOURCE_EUI","RegInt",7,"meanCent",104,104,128,1,NA,0,0,0,0,0,0,0
"E2","SOURCE_EUI","RegInt",7,"meanCent_logDV",104,104,128,1,NA,0,0,0,0,0,0,0
"E2","SOURCE_ENERGY","RegInt",7,"meanCent",104,104,128,1,NA,0,0,0,0,0,0,0
"E2","SOURCE_ENERGY","RegInt",7,"meanCent_logDV",104,104,128,1,NA,0,0,0,0,0,0,0
"E3a","SOURCE_EUI","rpart",1,"meanCent",104,8,8,0.455,0.415,3576.167,59.801,44.909,0.262,54.218,18.669,32.441
"E3a","SOURCE_EUI","rpart",1,"meanCent_logDV",104,7,7,0.316,0.273,4059.582,63.715,50.039,0.284,0,0,0
"E3a","SOURCE_ENERGY","rpart",1,"meanCent",104,8,8,0.869,0.859,287749862656426,16963191.405,11491994.041,0.419,35.148,11.664,41.329
"E3a","SOURCE_ENERGY","rpart",1,"meanCent_logDV",104,8,8,0.9,0.892,209752293853449,14482827.55,9830722.089,0.304,0,0,0
"E3b","SOURCE_EUI","xgboost",1,"meanCent",104,8,8,0.857,0.847,1443.925,37.999,27.245,0.158,34.451,11.863,20.614
"E3b","SOURCE_EUI","xgboost",1,"meanCent_logDV",104,7,7,0,-0.062,36968.601,192.272,179.26,0.969,0,0,0
"E3b","SOURCE_ENERGY","xgboost",1,"meanCent",104,7,7,0.944,0.94,135324353342282,11632899.61,7721067.374,0.263,24.103,7.999,28.342
"E3b","SOURCE_ENERGY","xgboost",1,"meanCent_logDV",104,8,8,0,-0.073,3021662845863836,54969653.863,41044262.183,1,0,0,0
